"";"Phrasal_verb";"Meaning"
"198";"reason with sb";"talk to somebody in order to persuade them to be more sensible"
"199";"reckon with";"deal with a difficult or powerful person or thing"
"200";"reflect on/upon";"give people a particular opinion of someone or something"
"201";"refrain from";"avoid doing or stop yourself from doing something"
"202";"resign yourself to";"make yourself accept sth that is bad but cannot be changed"
"203";"resignation";"stand down | step aside | step down"
"204";"resort to";"do or use sth especially because no other choices are possible"
"205";"result in sth";"cause a particular situation to happen"
"206";"rip-off";"something that is unreasonably expensive"
"207";"rip sb off";"charge someone too much money for something"
"208";"rub out => remove writing etc. from a surface";"write down => write something on paper"
"209";"rule out";"stop considering something as a possibility"
"210";"run after";"try to have a romantic or sexual relationship with somebody"
"211";"run up against";"<U+200B>have to deal with unexpected problems or a difficult opponent"
"212";"sail through";"succeed very easily in a test, examination etc."
"213";"scrape by";"manage to live on the money you have, but with difficulty"
"214";"see sb off";"go to a station, an airport, etc. to say goodbye to somebody"
"215";"see sb out";"go to the door with someone to say goodbye to them"
"216";"see to => deal with";"take responsibility for someone or something"
"217";"see to sth";"deal with or take responsibility for someone or something"
"218";"send sb down";"send someone to prison"
"219";"send up";"make sb seem silly by pretending to speak or behave like them"
"220";"set in";"(of something unpleasant) begin and seem likely to continue"
"221";"set out";"start a journey"
"222";"settle for";"accept something even though it is not the best"
"223";"shine through";"(of a quality) to be easy to see or notice"
"224";"shrink from";"be unwilling to do something that is difficult or unpleasant"
"225";"shy away from";"move away from or try to avoid something"
"226";"side with";"support one person or group in an argument"
"227";"sink in";"become completely known, felt, or understood"
"228";"slip up";"<U+200B>make a careless mistake"
"229";"sport";"bulk up | cool down | work out"
"230";"stamp on";"stop something by taking determined action"
"231";"stand for";"be an abbreviation or symbol of something"
"232";"stand in for sb";"do sb else’s job temporarily while they are not available to do it"
"233";"stand out";"be easy to see or notice because of being different"
"234";"stand up to";"refuse to accept unfair treatment from a person or organization"
"235";"starting";"trigger off | spark off | kick off"
"236";"stave off";"prevent sth bad from happening for a short period of time"
"237";"stem from";"be the result of something"
"238";"step down";"withdraw or resign from an important position or office"
"239";"stick with sth";"continue using or doing something"
"240";"stock up => fill sth with goods, food, etc.";"run out => use up or finish a supply of something"
"241";"stow away";"hide in a vehicle, ship, or plane in order to travel without permission"
"242";"stowaway";"a person who hides on a ship, aircraft, or other vehicle"
"243";"stumble across";"find something, or meet someone, by accident"
"244";"stumble on => come across";"<U+200B>meet or find somebody/something by chance"
"245";"swell up => become bigger or rounder";"go down => become less swollen"
"246";"tag along";"<U+200B>go somewhere with someone else although you are not needed"
"247";"take aback";"shock or surprise somebody very much"
"248";"take down => jot down";"<U+200B><U+200B>write something quickly"
"249";"take in => make a piece of clothing tighter";"let out => make a piece of clothing looser"
"250";"take it out on";"behave in an unpleasant way towards sb because you feel angry"
"251";"take out";"get something officially, especially from an insurance company"
"252";"take sb on";"<U+200B><U+200B>start to employ someone"
"253";"take sth out";"remove something from inside somebody’s body"
"254";"takeover";"<U+200B><U+200B>an act of taking control of a company by buying most of its shares"
"255";"talk sb into";"persuade someone to do something or not to do something"
"256";"tamper with";"interfere or meddle, especially in a harmful way"
"257";"tell off => tick off";"<U+200B>speak angrily to someone who has done something wrong"
"258";"tick off";"speak angrily to someone who has done something wrong"
"259";"tie in with";"match or agree with something"
"260";"tip-off";"a piece of information given in a discreet or confidential way"
"261";"tone down";"make something less forceful or offensive"
"262";"touch on";"mention or deal with a subject in only a few words"
"263";"touch on => allude to";"mention something or someone indirectly"
"264";"touchdown";"the moment at which a plane or spacecraft lands"
"265";"turn in";"go to bed in the evening"
"266";"turn over a new leaf";"change your way of life to become a better person"
"267";"turnout";"the number of people who come to an event"
"268";"track down";"find someone or something after a long search"
"269";"trigger off";"make something happen very quickly, especially a series of events"
"270";"unwanted action";"meddle with | tamper with | interfere with"
"271";"upkeep";"the cost or process of keeping something in good condition"
"272";"veer off";"change direction"
"273";"visiting";"call on | drop by | look up"
"274";"vouch for";"say that someone or something is honest, true, or good"
"275";"wade through";"<U+200B>deal with or read sth that is boring and takes a lot of time"
"276";"wait on";"act as a servant to somebody, especially by serving food to them"
"277";"walk out on";"suddenly leave sb that you are having a relationship with"
"278";"want for sth";"lack something that you really need"
"279";"ward off";"prevent something from harming you"
"280";"warm up => become more lively";"cool down => become less angry or excited"
"281";"wear off";"gradually disappear or stop"
"282";"wear out";"use something a lot so that it no longer works"
"283";"weather";"lash down | brighten up | close in"
"284";"weigh up";"form an opinion of somebody by watching or talking to them"
"285";"whip up";"encourage strong emotions or behaviour in people"
"286";"whittle away at";"gradually reduce the size or importance of something"
"287";"wind down";"gradually reduce work before stopping completely"
"288";"wolf down";"eat something very quickly, swallowing it in big pieces"
"289";"work out at";"<U+200B>add up to a particular amount"
"290";"write off";"a debt | an investment | a car"
